"EC Reference Number","Entity name","Entity type","Registration status","Register","Entity status","Referendum","Designation status","Company reg no","Date of registration / notification","Fielding candidates in england","Fielding candidates in scotland","Fielding candidates in wales","Fielding candidates in combined region","Minor party fielding candidates","Referendum outcome"
"PP 1961","UK Yorkshire Socialist Alliance Party","Political Party","Registered","Great Britain","","","","","10/10/2012 00:00:00","Y","N","N","N","N",""
"PP 83","Ulster Unionist Party","Political Party","Registered","Northern Ireland","","","","","14/01/1999 00:00:00","N","N","N","N","N",""
"PP 825","United Kingdom People Quality Life Party","Political Party","Registered","Great Britain","","","","","03/03/2010 00:00:00","Y","Y","Y","N","N",""
"PP 777","United People's Party","Political Party","Registered","Great Britain","","","","","01/10/2009 00:00:00","Y","Y","Y","N","N",""
"PP 649","Unity For Peace And Socialism","Political Party","Registered","Great Britain","","","","","19/03/2007 00:00:00","Y","Y","Y","N","N",""
"PP 30","Upminster and Cranham Residents Association","Political Party","Registered","Great Britain","","","","","16/03/2000 00:00:00","Y","N","N","N","N",""
"PP 2215","Valley Independents","Political Party","Registered","Great Britain","","","","","22/01/2014 00:00:00","Y","N","N","N","N",""
"PP 2247","VALOUR","Political Party","Registered","Great Britain","","","","","20/02/2014 00:00:00","Y","Y","Y","Y","N",""
"PP 2248","VALOUR","Political Party","Registered","Northern Ireland","","","","","04/03/2014 00:00:00","N","N","N","N","N",""
"PP 2305","Vapers In Power","Political Party","Registered","Great Britain","","","","","04/07/2014 00:00:00","Y","Y","Y","Y","N",""
"PP 424","Veritas","Political Party","Registered","Great Britain","","","","","28/01/2005 00:00:00","Y","Y","Y","N","N",""
"PP 426","Vivamus","Political Party","Registered","Great Britain","","","","","07/02/2005 00:00:00","Y","Y","Y","N","N",""
"PP 2086","Vote Roehampton","Political Party","Registered","Great Britain","","","","","03/07/2013 00:00:00","Y","N","N","N","N",""
"PP 1701","VOX POP","Political Party","Registered","Great Britain","","","","","14/03/2011 00:00:00","Y","N","N","N","N",""
"PP 882","We Demand A Referendum Now","Political Party","Registered","Great Britain","","","","","12/07/2010 00:00:00","Y","Y","Y","Y","N",""
"PP 2017","Wear Valley Independent Group","Political Party","Registered","Great Britain","","","","","06/02/2013 00:00:00","Y","N","N","N","N",""
"PP 1995","Welwyn Garden City Party","Political Party","Registered","Great Britain","","","","","26/02/2013 00:00:00","Y","N","N","N","N",""
"PP 95","Wessex Regionalists","Political Party","Registered","Great Britain","","","","","25/06/1999 00:00:00","Y","N","N","N","N",""
"PP 163","West Ewell and Ruxley Residents Association","Political Party","Registered","Great Britain","","","","","11/05/2001 00:00:00","Y","N","N","N","N",""
"PP 2353","West Suffolk Independents","Political Party","Registered","Great Britain","","","","","04/09/2014 00:00:00","Y","N","N","N","N",""
"PP 735","Weybridge Independents","Political Party","Registered","Great Britain","","","","","26/01/2009 00:00:00","Y","N","N","N","N",""
"PPm 832","White Rose GB","Minor Party","Registered","","","","","","12/03/2010 00:00:00","Y","N","N","N","Y",""
"PP 129","Whitnash Residents Association","Political Party","Registered","Great Britain","","","","","30/03/2001 00:00:00","Y","N","N","N","N",""
"PP 281","Whitwell Resident's Association","Political Party","Registered","Great Britain","","","","","19/02/2003 00:00:00","Y","N","N","N","N",""
"PP 1727","Wigan Borough Green Socialists","Political Party","Registered","Great Britain","","","","","31/03/2011 00:00:00","Y","N","N","N","N",""
"PP 1951","Wigan Independent Network","Political Party","Registered","Great Britain","","","","","05/12/2012 00:00:00","Y","N","N","N","N",""
